date,home_team,away_team,home_score,away_score,neutral,home_form,away_form,form_diff,elo_home,elo_away,elo_diff
1990-03-28,England,Brazil,1.0,0.0,0,0,0,0,1850.0,1850.0,0.0
1990-03-28,Hungary,France,1.0,3.0,0,3,9,-6,1513.6203106888922,1864.5438370900365,-350.9235264011443
1990-03-28,Poland,Yugoslavia,0.0,0.0,0,7,0,7,1518.5129030412102,1500.0,18.512903041210166
1990-03-31,Switzerland,Italy,0.0,1.0,0,0,1,-1,1650.0,1750.0,-100.0
1990-03-31,Guernsey,Alderney,4.0,0.0,0,0,0,0,1500.0,1500.0,0.0
1990-04-01,Zambia,Tanzania,2.0,0.0,0,10,5,5,1519.4573247194037,1509.7127324054748,9.744592313928933
1990-04-03,Bermuda,Iceland,0.0,4.0,0,0,3,-3,1493.6292692814748,1510.0,-16.370730718525238
1990-04-03,Switzerland,Romania,2.0,1.0,0,0,5,-5,1642.8012999960577,1509.8056796925337,132.995620303524
1990-04-04,Czechoslovakia,Egypt,0.0,1.0,0,0,1,-1,1497.6467659409388,1465.3714507989682,32.27531514197062
1990-04-08,United States,Iceland,4.0,1.0,0,6,6,0,1605.0583289180063,1519.52916089068,85.52916802732625
1990-04-11,German DR,Egypt,2.0,0.0,0,6,3,3,1520.750296468411,1476.2977460448988,44.45255042351232
1990-04-11,Denmark,Turkey,1.0,0.0,0,2,0,2,1641.9623220046012,1500.0,141.96232200460122
1990-04-11,Algeria,Sweden,1.0,1.0,0,15,4,11,1564.9488119103949,1506.6799280501539,58.268883860240976
1990-04-11,Austria,Hungary,3.0,0.0,0,4,3,1,1517.7691414576639,1511.2780925909453,6.491048866718529
1990-04-14,Bermuda,Antigua and Barbuda,2.0,2.0,0,0,0,0,1484.1001083907947,1490.0,-5.89989160920527
1990-04-15,Barbados,Saint Lucia,1.0,0.0,0,3,0,3,1499.4249887221547,1500.0,-0.5750112778453058
1990-04-16,Bermuda,Antigua and Barbuda,3.0,0.0,0,1,1,0,1484.2699046009998,1489.830203789795,-5.56029918879517
1990-04-17,Grenada,Curaçao,1.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-04-17,Mexico,Colombia,2.0,0.0,1,6,2,4,1677.8003775854347,1499.985746293027,177.81463129240774
1990-04-22,Martinique,French Guiana,4.0,0.0,0,0,0,0,1500.0,1500.0,0.0
1990-04-22,Saint Vincent and the Grenadines,Dominica,2.0,1.0,0,0,0,0,1500.0,1500.0,0.0
1990-04-22,United States,Colombia,0.0,1.0,0,6,2,4,1612.6451527405545,1494.6991461851255,117.946006555429
1990-04-25,Israel,Romania,1.0,4.0,0,0,5,-5,1490.464969537582,1503.4569781507353,-12.992008613153303
1990-04-25,Scotland,German DR,0.0,1.0,0,3,9,-6,1517.4589895486886,1529.4777852600873,-12.018795711398752
1990-04-25,Sweden,Wales,4.0,2.0,0,5,0,5,1508.3414921546653,1490.0,18.341492154665275
1990-04-25,England,Czechoslovakia,4.0,2.0,0,3,0,3,1860.0,1486.7204706950083,373.2795293049917
1990-04-25,Republic of Ireland,Russia,1.0,0.0,0,3,10,-7,1510.0,1539.5430976892328,-29.54309768923281
1990-04-25,Germany,Uruguay,3.0,3.0,0,0,6,-6,1840.134649530963,1745.2477331153582,94.8869164156049
1990-04-29,Barbados,Antigua and Barbuda,1.0,0.0,0,6,1,5,1509.4415388620023,1479.6701791762207,29.77135968578159
1990-04-29,Gabon,Martinique,0.0,2.0,1,0,3,-3,1500.0,1510.0,-10.0
1990-04-29,Jamaica,Saint Kitts and Nevis,3.0,0.0,0,3,3,0,1500.5750112778453,1510.0,-9.424988722154694
1990-04-29,Suriname,Guyana,5.0,0.0,0,0,0,0,1500.0,1500.0,0.0
1990-05-01,Guadeloupe,Martinique,1.0,0.0,1,0,6,-6,1500.0,1519.71225631668,-19.71225631667994
1990-05-03,Austria,Argentina,1.0,1.0,0,7,0,7,1527.5823357871934,1817.3460719183522,-289.7637361311588
1990-05-04,Colombia,Poland,2.0,1.0,1,5,8,-3,1507.9692403434835,1517.9805625759413,-10.011322232457815
1990-05-05,Brazil,Bulgaria,2.0,1.0,0,0,0,0,1840.0,1500.0,340.0
1990-05-05,United States,Malta,1.0,0.0,0,6,1,5,1599.3750585821965,1489.9917251272818,109.38333345491469
1990-05-06,Costa Rica,Poland,0.0,2.0,1,3,8,-5,1499.759033200864,1507.6924932826978,-7.9334600818338
1990-05-06,Saint Martin,Guadeloupe,2.0,1.0,0,3,3,0,1510.0,1510.56675634087,-0.5667563408699152
1990-05-06,Cayman Islands,Jamaica,1.0,2.0,0,1,6,-5,1500.0,1510.8462177367066,-10.846217736706649
1990-05-07,Jersey,Guernsey,2.0,1.0,0,0,3,-3,1500.0,1510.0,-10.0
1990-05-08,Switzerland,Argentina,1.0,1.0,0,3,1,2,1649.150001537856,1810.5198543995743,-161.3698528617183
